idCliente;Nombre;Email;Telefono;Segmento;Ciudad;Sexo;Edad
1101;Javier Ignacio Torres;javier.torres@mailficticio.com;57900000001;PyME;Bogotá;"M ";73
1102;Andres Felipe Herrera;andres.herrera@mailficticio.com;57900000002;Retail;Bogotá;"M ";29
1103;Ricardo Jose Vargas;ricardo.vargas@mailficticio.com;57900000003;VIP;Bogotá;"M ";29
1104;Miguel Rangel Castro;miguel.castro@mailficticio.com;57900000004;PyME;Cartagena;"M ";56
1105;Fernando Luis Soto;fernando.soto@mailficticio.com;57900000005;Retail;Manizales;"M ";60
1106;Daniel Esteban Rico;daniel.rico@mailficticio.com;57900000006;VIP;MEDELLIN;"M ";35
1107;Pablo Emilio Bernal;pablo.bernal@mailficticio.com;57900000007;PyME;Bogotá;"M ";28
1108;Juan Camilo Rueda;juan.rueda@mailficticio.com;57900000008;Retail;Bucaramanga;"M ";72
1109;Mario Alberto Cruz;mario.cruz@mailficticio.com;57900000009;VIP;Cúcuta;"M ";43
1110;Diego Alejandro Gil;diego.gil@mailficticio.com;57900000010;PyME;Cúcuta;"M ";52
1111;Sebastian Nicolas Pedraza;sebastian.pena@mailficticio.com;;Retail;Cartagena;"M ";72
1112;Alejandro Martin Rojas;alejandro.rojas@mailficticio.com;57900000012;VIP;Bogotá;"M ";25
1113;Gabriel Antonio Ruiz;gabriel.ruiz@mailficticio.com;57900000013;PyME;BUCARAMANGA;"M ";52
1114;Nicolas Mateo Perez;nicolas.perez@mailficticio.com;57900000014;Retail;Bogotá;"M ";50
1115;Carlos Manuel Velez;carlos.velez@mailficticio.com;57900000015;VIP;Bogotá;"M ";66
1116;Luis Alberto Mendoza;luis.mendoza@mailficticio.com;57900000016;PyME;Bogotá;"M ";75
1117;David Jose Lopez;david.lopez@mailficticio.com;57900000017;Retail;Bogotá;"M ";66
1118;Martin Agustin Diaz;matias.diaz@mailficticio.com;;VIP;Ibagué;"M ";34
1119;Hugo Cesar Ocampo;hugo.ocampo@mailficticio.com;57900000019;PyME;Ibagué;"M ";45
1120;Rafael Eduardo Rios;rafael.rios@mailficticio.com;57900000020;Retail;Ibagué;"M ";26
1121;Emmanuel Vicente Rivas;emmanuel.rivas@mailficticio.com;57900000021;VIP;CARTAGENA;"M ";56
1122;;german.sierra@mailficticio.com;57900000022;PyME;Manizales;"M ";70
1123;Alonso Jesus Bernal;alonso.bernal@mailficticio.com;;Retail;Bogotá;"M ";49
1124;Eduardo Luis Salas;eduardo.salas@mailficticio.com;57900000024;VIP;Manizales;"M ";58
1125;Victor Hugo Zapata;victor.zapata@mailficticio.com;57900000025;PyME;Manizales;"M ";46
1126;Samuel Andres Gil;samuel.gil@mailficticio.com;57900000026;Retail;Bogotá;"M ";29
1127;Cristian David Toro;cristian.toro@mailficticio.com;57900000027;VIP;Manizales;"M ";65
1128;Antonio Javier Cruz;antonio.cruz@mailficticio.com;57900000028;PyME;Ibagué;"M ";20
1129;Fabian Ricardo Orozco;fabian.orozco@mailficticio.com;57900000029;Retail;Ibagué;"M ";36
1130;Felipe Santiago Acosta;felipe.acosta@mailficticio.com;57900000030;VIP;Manizales;"M ";26
1131;Sofia Alejandra Gomez;sofia.gomez@mailficticio.com;57900000031;PyME;Manizales;"F ";35
1132;Valentina Paz Rojas;valentinapaz.rojas@mailficticio.com;57900000032;Retail;Cali;"F ";58
1133;Maria Fernanda Lopez;maria.lopez@mailficticio.com;57900000033;VIP;Cartagena;"F ";43
1134;Laura Cristina Peña;laura.pena@mailficticio.com;57900000034;PyME;Cúcuta;"F ";62
1135;;ana.mendoza@mailficticio.com;57900000035;Retail;Manizales;"F ";51
1136;Isabella Elena Diaz;isabella.diaz@mailficticio.com;57900000036;VIP;Cúcuta;"F ";61
1137;Camila Andrea Rios;camila.rios@mailficticio.com;57900000037;PyME;Bogotá;"F ";45
1138;Daniela Pilar Velez;daniela.velez@mailficticio.com;57900000038;Retail;Cúcuta;"F ";54
1139;Natalia Isabel Ortiz;natalia.ortiz@mailficticio.com;57900000039;VIP;NULL;"F ";64
1140;Gabriela Carolina Luna;gabriela.luna@mailficticio.com;57900000040;PyME;Bogotá;"F ";32
1141;Mariana Josefina Vargas;mariana.vargas@mailficticio.com;57900000041;Retail;Cúcuta;"F ";29
1142;Valeria Sofia Castro;valeria.castro@mailficticio.com;57900000042;VIP;Bogotá;"F ";38
1143;Emilia Teresa Blanco;emilia.blanco@mailficticio.com;57900000043;PyME;Cúcuta;"F ";34
1144;Julieta  Soto;julieta.soto@mailficticio.com;57900000044;Retail;Cúcuta;"F ";68
1145;Alicia Victoria Rueda;alicia.rueda@mailficticio.com;57900000045;VIP;Bogotá;"F ";71
1146;Elena Carolina Cruz;elena.cruz@mailficticio.com;57900000046;PyME;Medellín;"F ";52
1147;Lucia Fernanda Gil;lucia.gil@mailficticio.com;57900000047;Retail;Bogotá;"F ";36
1148;Catalina Paz Sierra;catalina.sierra@mailficticio.com;57900000048;VIP;Medellín;"F ";31
1149;Manuela Alejandra Perez;manuela.perez@mailficticio.com;57900000049;PyME;CALI;"F ";55
1150;Sara Marcela Velez;sara.velez@mailficticio.com;57900000050;Retail;Medellín;"F ";39
1151;Ximena Lucia Pinto;ximena.pinto@mailficticio.com;57900000051;VIP;Medellín;"F ";36
1152;Paula Andrea Vargas;paula.vargas@mailficticio.com;57900000052;PyME;Medellín;"F ";19
1153;Veronica Daniela Rojas;veronica.rojas@mailficticio.com;57900000053;Retail;Medellín;"F ";62
1154;Renata Isabel G├│mez;renata.gomez@mailficticio.com;57900000054;VIP;Cali;"F ";18
1155;Beny Sofia Herrera;belen.herrera@mailficticio.com;57900000055;PyME;Cali;"F ";20
1156;Celeste Victoria Rico;celeste.rico@mailficticio.com;57900000056;Retail;CALI;"F ";70
1157;Alejandra Soledad Bernal;alejandra.bernal@mailficticio.com;57900000057;VIP;Medellín;"F ";65
1158;Guadalupe Torres;guadalupe.torres@mailficticio.com;57900000058;PyME;Bogotá;"F ";48
1159;Olivia Fernanda Acosta;olivia.acosta@mailficticio.com;57900000059;Retail;Bogotá;"F ";56
1160;Paula Andrea Lopez;paula.lopez@mailficticio.com;57900000060;VIP;Bogotá;"F ";63
1161;Laura Catalina Gil;laura.gil@mailficticio.com;57900000061;PyME;Manizales;"F ";60
1162;Silvia Lorena Abril;silvia.nunez@mailficticio.com;57900000062;Retail;Manizales;"F ";41
1163;Regina Isabel Cruz;regina.cruz@mailficticio.com;57900000063;VIP;Cartagena;"F ";48
1164;Clara Sofia Torres;clara.torres@mailficticio.com;57900000064;PyME;Manizales;"F ";73
1165;Viviana Marcela Pardo;viviana.pardo@mailficticio.com;57900000065;Retail;Bogotá;"F ";43
1166;Ana Milena Marin;angelica.velez@mailficticio.com;57900000066;VIP;Bogotá;"F ";72
1167;Adriana Patricia Salas;adriana.salas@mailficticio.com;57900000067;PyME;Bogotá;"F ";75
1168;Monica Alejandra Latorre;monica.latorre@mailficticio.com;57900000068;Retail;Bogotá;"F ";56
1169;Erika Milena Herrera;erika.herrera@mailficticio.com;57900000069;VIP;" CALI";"F ";19
